ticker,display_name,website,linkedin_url,founded,industry,ipo_date,location_name,location_metro,location_region,location_country,location_continent
SCOR,"comScore, Inc.",comscore.com,linkedin.com/company/comscore,1999,internet,2007-06,"reston, virginia, united states",district of columbia,virginia,united states,north america
PUBM,PubMatic,pubmatic.com,linkedin.com/company/pubmatic,2006,internet,2020-12,"redwood city, california, united states","san francisco, california",california,united states,north america
MIXT,MiX Telematics,mixtelematics.com,linkedin.com/company/mix-telematics,1996,information technology and services,2013-08,,,texas,united states,north america
EB,Eventbrite,eventbrite.com,linkedin.com/company/eventbrite,2006,internet,2018-09,"san francisco, california, united states","san francisco, california",california,united states,north america
VRSN,VERISIGN,verisign.com,linkedin.com/company/verisign,1995,information technology and services,1998-01,,,virginia,united states,north america
ALRM,Alarm.com,alarm.com,linkedin.com/company/alarm-com,2000,information technology and services,2015-06,,,virginia,united states,north america
ARC,ARC Document Solutions,e-arc.com,linkedin.com/company/arc-document-solutions,1997,information technology and services,2005-02,"san ramon, california, united states","san francisco, california",california,united states,north america
HCAT,Health Catalyst,healthcatalyst.com,linkedin.com/company/healthcatalyst,2008,information technology and services,2019-07,"salt lake city, utah, united states","salt lake city, utah",utah,united states,north america
MODN,Model N,modeln.com,linkedin.com/company/modeln,1999,computer software,2013-03,"san mateo, california, united states","san francisco, california",california,united states,north america
PAR,PAR Technology,partech.com,linkedin.com/company/partechnology,1968,information technology and services,1982-12,"town of new hartford, new york, united states","utica, new york",new york,united states,north america
EHTH,"eHealth, Inc.",ehealthinsurance.com,linkedin.com/company/ehealthinsurance,1997,internet,2006-10,"santa clara, california, united states","san jose, california",california,united states,north america
PLUS,ePlus inc.,eplus.com,linkedin.com/company/eplus-technology,,information technology and services,1996-11,"herndon, virginia, united states",district of columbia,virginia,united states,north america
RMNI,Rimini Street,riministreet.com,linkedin.com/company/rimini-street,2005,information technology and services,2015-08,"las vegas, nevada, united states","las vegas, nevada",nevada,united states,north america
AGYS,Agilysys,agilysys.com,linkedin.com/company/agilysys,1963,information technology and services,1980-03,"alpharetta, georgia, united states","atlanta, georgia",georgia,united states,north america
VRNS,Varonis,varonis.com,linkedin.com/company/varonis,2005,computer software,2014-02,"new york, new york, united states","new york, new york",new york,united states,north america
FIVN,Five9,five9.com,linkedin.com/company/five9,2001,computer software,2014-04,"san ramon, california, united states","san francisco, california",california,united states,north america
SWI,SolarWinds,solarwinds.com,linkedin.com/company/solarwinds,1999,computer software,2018-10,"austin, texas, united states","austin, texas",texas,united states,north america
SPSC,SPS Commerce,spscommerce.com,linkedin.com/company/sps-commerce,1987,information technology and services,2010-04,"minneapolis, minnesota, united states","minneapolis, minnesota",minnesota,united states,north america
CVLT,Commvault,commvault.com,linkedin.com/company/commvault,1996,computer software,2006-09,"tinton falls, new jersey, united states","new york, new york",new jersey,united states,north america
ASAN,Asana,asana.com,linkedin.com/company/asana,2009,internet,2020-09,"san francisco, california, united states","san francisco, california",california,united states,north america
CYBR,CyberArk,cyberark.com,linkedin.com/company/cyber-ark-software,1999,computer software,2014-09,"newton, massachusetts, united states","boston, massachusetts",massachusetts,united states,north america
BOX,Box,box.com,linkedin.com/company/box,2005,internet,2015-01,"redwood city, california, united states","san francisco, california",california,united states,north america
GWRE,Guidewire Software,guidewire.com,linkedin.com/company/guidewire-software,2001,computer software,2012-01,"san mateo, california, united states","san francisco, california",california,united states,north america
MSTR,MicroStrategy,microstrategy.com,linkedin.com/company/microstrategy,1989,computer software,1998-06,"tysons corner, virginia, united states",district of columbia,virginia,united states,north america
