date,company_ticker,first_seen,person_id,age,company_founded,company_industry,company_linkedin_url,company_name,company_type,company_website,country,grad_degree_degree,grad_degree_end,grad_degree_major_1,grad_degree_school_location_country,grad_degree_school_name,grad_degree_school_website,grad_degree_start,job_duration,level,next_job_company_founded,next_job_company_industry,next_job_company_linkedin_url,next_job_company_location_country,next_job_company_location_locality,next_job_company_location_name,next_job_company_location_region,next_job_company_name,next_job_company_website,next_job_level,next_job_title,next_job_title_role,next_job_title_sub_role,role,sex,sub_role,title,undergrad_degree_degree,undergrad_degree_end,undergrad_degree_major_1,undergrad_degree_school_location_country,undergrad_degree_school_name,undergrad_degree_school_website,undergrad_degree_start,years_since_grad,years_since_undergrad
2012-09,BOX,2020-03-11,-IJmUhBytQA4TbGpN7toRA_0000,,2005,internet,linkedin.com/company/box,Box,private,box.com,united kingdom,,,,,,,,0,director,1993,marketing and advertising,linkedin.com/company/marketsquare,denmark,copenhagen,"copenhagen, capital region, denmark",capital region,marketsquare a/s,marketsquare.dk,director,events and marketing director,public_relations,events,public_relations,male,events,consultant events director,bachelors,2003,zoology,united kingdom,university of nottingham,nottingham.ac.uk,2000,,9
2014-11,BOX,2020-03-16,SdK7T12NDi6ghXZ8jdI2kA_0000,,2005,internet,linkedin.com/company/box,Box,private,box.com,germany,,,,,,,,1,director,1982,computer software,linkedin.com/company/symantec,united states,san jose,"san jose, california, united states",california,symantec,symantec.com,manager,channel sales manager,sales,accounts,,male,,"head of channel, central europe",bachelors,1995,business,,"akademie handel, münchen",,1994,,19
2016-01,BOX,2023-12-01,9lsVb7oN9-libK7-2AwB4g_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,4,training,,marketing and advertising,linkedin.com/company/um-ww,united states,new york,"new york, new york, united states",new york,um worldwide,umww.com,,operations consultant,operations,,,female,,project intern,bachelors,2012,,united states,georgia institute of technology,gatech.edu,2008,,4
2019-05,BOX,2019-09-09,34G8HgVGBCi5qDC93uP8tg_0000,37,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,masters,2008,engineering,united states,specs@ltu,ltu.edu,2007,2,,2006,real estate,linkedin.com/company/zillow,united states,seattle,"seattle, washington, united states",washington,zillow,zillow.com,senior,senior devops engineer,engineering,devops,engineering,male,devops,devops big data engineer,bachelors,2003,electronics,india,jawaharlal nehru technological university,jntu.ac.in,1999,11,16
2013-11,BOX,2019-12-07,HBLUXy1n7nzE6kBo5sAurg_0000,,2005,internet,linkedin.com/company/box,Box,private,box.com,united states,,,,,,,,3,manager,2007,marketing and advertising,linkedin.com/company/nextroll,united states,san francisco,"san francisco, california, united states",california,nextroll,nextroll.com,manager,lead user experience,design,product_design,design,male,product_design,user experience lead,bachelors,2003,psychology,,,,1999,,10
2020-06,BOX,2023-08-01,CzT0B2M9ATKIitwQEu6aOg_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,1,manager,1997,food & beverages,linkedin.com/company/premier-nutrition,united states,emeryville,"emeryville, california, united states",california,premier nutrition: the good energy people,premiernutrition.com,,marketing project manager,operations,project_management,marketing,female,marketing_communications,customer marketing communications manager,bachelors,2012,marketing,united states,university of arizona,arizona.edu,2008,,8
2021-11,BOX,2023-07-28,W8OhtEvXxyfexZT6B7ALyA_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,master of science,2012,accounting,united states,siena college,siena.edu,2011,0,manager,2006,music,linkedin.com/company/spotify,sweden,,sweden,,spotify,spotify.com,manager,senior security risk manager,,,,female,,"senior manager, it internal audit",bachelors,2011,accounting,united states,siena college,siena.edu,2007,9,10
2013-04,BOX,2016-12-25,PF9ciXFXEi1LlFVif4cGCA_0000,25,2005,internet,linkedin.com/company/box,Box,private,box.com,united states,,,,,,,,1,,2004,internet,linkedin.com/company/meta,united states,menlo park,"menlo park, california, united states",california,meta,meta.com,,product marketing,marketing,product,,male,,platform development,bachelors,2011,government,united states,harvard university,harvard.edu,2007,,2
2021-04,BOX,2021-09-08,wc1YOorTPjVNRX3o8YnJ4A_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,1,vp,1887,higher education,linkedin.com/company/california-state-university-chico,united states,chico,"chico, california, united states",california,"california state university, chico",csuchico.edu,,cybersecurity advisor,,,,male,,"vice president, products - security and compliance",,,,,,,,,
2022-04,BOX,2022-05-14,wc1YOorTPjVNRX3o8YnJ4A_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,1,vp,2004,venture capital & private equity,linkedin.com/company/first-round-capital,united states,san francisco,"san francisco, california, united states",california,first round capital,,,advisor,,,,male,,"vice president, products - enterprise, security, and compliance",,,,,,,,,
2020-09,BOX,2021-01-08,k8dw5d7LsiQLoF8v88bhNA_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,1,senior,2008,computer software,linkedin.com/company/github,united states,san francisco,"san francisco, california, united states",california,github,github.com,manager,senior product marketing manager,marketing,product,engineering,female,,senior developer advocate,,,,,,,,,
2015-08,BOX,2023-11-01,0DaHlLjij4H91dcxH44glA_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,computer science,united states,ucla,ucla.edu,2014,0,training,1919,higher education,linkedin.com/company/ucla,united states,los angeles,"los angeles, california, united states",california,ucla,ucla.edu,,graduate teaching assistant,,,engineering,,software,software engineering intern,bachelors,2014,electrical engineering,united states,"university of california, berkeley",berkeley.edu,2010,,1
2018-02,BOX,2023-11-01,0DaHlLjij4H91dcxH44glA_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,master of science,2016,computer science,united states,ucla,ucla.edu,2014,2,,2008,internet,linkedin.com/company/jwplayer,united states,,"new york, united states",new york,jw player,jwplayer.com,,software engineer,engineering,software,engineering,,software,software engineer,bachelors,2014,electrical engineering,united states,"university of california, berkeley",berkeley.edu,2010,2,4
2018-09,BOX,2021-09-08,wfMG3B2v9Dv0gDtvfO4PnA_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,sweden,,,,,,,,3,,2017,wholesale,linkedin.com/company/greenmouseinternational,netherlands,,netherlands,,greenmouse international b.v,greenmouse.green,,independent sales agent,sales,accounts,sales,male,accounts,nordic strategics sales,,,,,,,,,
2014-02,BOX,2016-12-25,dWPsAiazhzB7DDcfusTfGw_0000,39,2005,internet,linkedin.com/company/box,Box,private,box.com,united states,,,,,,,,3,,2013,entertainment,linkedin.com/company/shots,united states,los angeles,"los angeles, california, united states",california,shots studios,shots.com,,principal web developer,engineering,web,engineering,male,,senor full stack engineer,bachelor of science in engineering,1997,computer engineering,,university of michigan,,1993,,17
2018-12,BOX,2024-03-11,E1fqDF9TWUBxUG-mpN1E8g_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,3,,1987,computer & network security,linkedin.com/company/mcafee,united states,san jose,"san jose, california, united states",california,mcafee,mcafee.com,,customer advisory board member,,,engineering,,information_technology,chief information officer advisory board member,bachelors,2001,computer science,,rutgers university,,1997,,17
2015-01,BOX,2016-12-25,YgHihZSOyz0zS8Ub0-FohQ_0000,,2005,internet,linkedin.com/company/box,Box,private,box.com,brazil,,,,,,,,3,,1971,"health, wellness and fitness",linkedin.com/company/unimedportoalegre,brazil,porto alegre,"porto alegre, rio grande do sul, brazil",rio grande do sul,unimed porto alegre,unimedpoa.com.br,,analista de intercâmbio,,,,male,,administrador de empresas,,,,,,,,,
2015-06,BOX,2019-12-07,-MLdn6OrB3PD3-BH4QGnVw_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,3,,1999,internet,linkedin.com/company/salesforce,united states,san francisco,"san francisco, california, united states",california,salesforce,salesforce.com,,enterprise account executive | salesforce marketing cloud,engineering,accounts,sales,male,accounts,enterprise account executive,,,,,,,,,
2016-12,BOX,2018-11-11,TfT4RYj3Ng3Kl4TNvPIr4g_0000,29,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,master of science,2011,electronics engineering,united states,penn state university,psu.edu,2005,2,,2004,internet,linkedin.com/company/meta,united states,menlo park,"menlo park, california, united states",california,meta,meta.com,,solutions architect,customer_service,customer_success,sales,female,accounts,sales engineer,bachelors,2009,electronics engineering,united states,penn state university,psu.edu,2005,5,7
2019-12,BOX,2020-03-19,ZU6aV9pnT0twN9FRgZ5knQ_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,1,,2002,computer software,linkedin.com/company/qualtrics,ireland,dublin,"dublin, dublin, ireland",dublin,qualtrics,qualtrics.com,,enterprise account executive,sales,accounts,sales,male,accounts,strategic account executive,bachelors,1988,business administration,united states,university of north carolina at chapel hill,unc.edu,1984,,31
2021-01,BOX,2021-02-12,hdHSvhUGY8eVHSHBZFuSLw_0000,39,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,3,,2013,marketing and advertising,linkedin.com/company/bluecore,united states,new york,"new york, new york, united states",new york,bluecore,bluecore.com,director,director strategic accounts,operations,,sales,male,accounts,enterprise account executive,,,,,,,,,
2021-09,BOX,2022-11-15,555e15AwpKlO9YlKe3uzOQ_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,3,senior,2012,financial services,linkedin.com/company/affirm,united states,san francisco,"san francisco, california, united states",california,affirm,affirm.com,,staff software engineer,engineering,software,sales,male,accounts,senior salesforce technical architect,bachelors,2004,computer science,united states,cal poly pomona career center,cpp.edu,2000,,17
2018-03,BOX,2021-08-29,JflWX3hcYmk4wYhHybvj6w_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,2,director,2014,internet,linkedin.com/company/outreach-saas,united states,seattle,"seattle, washington, united states",washington,outreach,outreach.io,director,"director, grc",,,,male,,director of compliance,,,,,,,,,
2022-10,BOX,2023-07-01,AfZjTyjBPgGRXdgT28Wlvw_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,3,,2019,,linkedin.com/company/gleanwork,united states,palo alto,"palo alto, california, united states",california,glean,glean.com,,strategic account executive,sales,accounts,sales,male,accounts,strategic account executive,bachelors,1994,biology,united states,"university of california, davis",ucdavis.edu,1992,,28
